date,version,hash
2017-07-28,0.4,5d89f22aa51b9defdc52825c079a1f6127b367c9
2017-07-30,0.4,14d1aa9c3146c9bb8b181216695835a0ae673448
2017-08-01,0.43,b685a36e71fb7c914f162504585a432071e66d5c
2017-08-04,0.46,293e68ea2b279cd12352dbef6073449ab2600544
2017-08-07,0.48,a92d32060afc56a9b7e10aa4fe433813f6de6026
2017-08-09,0.481,f43763e8ec50b1576d7d94ab73df1ee83ece75a8
2017-08-11,0.482,8117248adb4d021fea098ecd7db19ba42d7a30b0
2017-08-16,0.483,81542b832fb2b2c1177cca928916b43b6cb3e7a5
2017-08-18,0.5,d46f4f388f2efaa55ab918113165dac0b8cc589c
2017-09-12,0.5,b63e7b3b425fd34585906416c6be42f50e89eeed
2017-10-22,0.5.6,99ead2d0b5223f3a5754a7053af24ea0b23b131c
2017-10-30,0.5.7,1390729b2be7dc555253bf360bcb524af11afd05
2017-11-02,0.5.8,8b11bd7828f750acd1fe0276c01cec3d76f17f70
2018-02-28,0.5.9,d9dffb4e9678bf721f847c318bb689daaf8555cb
2018-03-09,0.5.91,89d75229b7f261f11a18c20b6dc32926ee9cfaf4
2018-07-18,0.5.92,8932752f59a997d2cb7d5b84b5fc9c01ae55aadf
2018-07-19,0.5.922,322a3046ae45f0c5b8ce108d385d11b1e70ed4c7
2018-07-20,0.5.942,760e4992a94b7ddf97201600f94c886a95e3996a
2018-07-22,0.5.944,7d573defa0912b84349239850d00a69925f0ee44
2018-07-23,0.5.945,527da8184888cbbfd87a3d24882d43038a875f28
2018-07-26,0.5.95,79f6417aa7713397c3c2ada895f704cec5eb9fd4
2018-07-27,0.5.963,d8728f4e409631d1db5e9726886999d2029a1c97
2018-07-30,0.6.1,bb1b3feb6dadfd8b1942cdb9589179bf52133d39
2018-07-31,0.6.102,6f2dcaad5f7ef03216b7dc3c38dca8ebe6ad7677
2018-08-01,0.6.103,f408ac53dbd0304c5a66ca6d4bc4665573871af8
2018-08-07,0.6.104,4020b0fe366a4572822dce4ca94994121a8135de
2018-08-10,0.6.112,39ed9760c518aa90be93d58e132a726b4d11ea49
2018-08-13,0.6.113,794829c4e90c9a9c7a3739fdb4cbeec3994b0788
2018-08-15,0.6.115,717864ef055bbd6031496327ae0cc8fb48968f84
2018-08-16,0.07.01,c10d3468cd81562f9b5ea4cfab441f0f29029cfa
2018-08-17,0.07.02,257cf5d854c7618196aaa1b021895a6abe1c52cf
2018-08-20,0.08.000,c317b44caf2ffd7c06c8e46ced435490fc64f18d
2018-08-22,0.09.000,327563e8448bfec62d9e0080c7d4cc48600b5b5f
2018-09-03,0.10.000,1ed6bbdd115f01480d7ab8740949c278b6623a2a
2018-09-15,0.10.01,524dd9a6d4a20c73dd7b38cd990dd682a3e58138
2018-10-04,0.10.03,e84732eece4acf340efac3458d4d74d8ce9ea347
2018-10-08,0.11.000,6e8b9b5d267d0f79eab4d70ef8973cbaef5e9284
2018-10-12,0.11.01,2b3559c98db007021e4a0873207446e453655135
2018-10-13,0.12.000,0e78f4fa94067738993e2b23cd829312477d207c
2018-11-08,0.12.01,ee1b32830d482aff2c5838f9670e4bdb698b2f8c
2018-11-09,0.12.10,9660bef6b014af306da3f33b2eb002fe2ac2f920
2018-11-27,0.12.12,56ea70f2a03bbb0a35540552cd60f08c72906a23
2018-11-28,0.12.17,dedc05b22d76b5a12eb69127e2820af8f744cb2a
2018-12-01,0.12.20,b80c8a629969a17519af7aaf620c16cfdd0bf6d0
2018-12-02,0.12.23,131677090a2e0bff35fd604777a3997ca5126fde
2018-12-03,0.12.24,bee022667e52e5cad2e988402106362129406b14
2018-12-04,0.12.26,d01b05c319333992635fcf035aad62875acf1b55
